------------------------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                        | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                           
------------------------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 lmu-steward/src/renderer/utils                             |   93.88 |    82.43 |   97.12 |   93.72 |                                                                                                                                                                             
  collections.ts                                            |   96.55 |      100 |     100 |   96.15 | 36                                                                                                                                                                          
  incidentScore.ts                                          |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  postMessage.ts                                            |   76.92 |        0 |      75 |   72.72 | 15-17                                                                                                                                                                       
  profileInitials.ts                                        |   91.66 |    85.71 |     100 |    90.9 | 13                                                                                                                                                                          
  replayActivationPlan.ts                                   |   94.11 |    84.61 |     100 |   93.75 | 46                                                                                                                                                                          
  replayCommands.ts                                         |     100 |       75 |     100 |     100 | 28                                                                                                                                                                          
  replayCompletionHoldPlan.ts                               |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  replayDataFetchPlan.ts                                    |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  replayForcingLoadingPlan.ts                               |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  replayHeatmapWorldSpots.ts                                |   92.45 |    79.41 |     100 |   91.83 | 49,80-81,101                                                                                                                                                                
  replayLoadingGatePlan.ts                                  |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  replayMetadata.ts                                         |     100 |    77.77 |     100 |     100 | 38,44                                                                                                                                                                       
  replaySelectors.ts                                        |   97.14 |       95 |     100 |   96.77 | 44                                                                                                                                                                          
  replayStandings.ts                                        |   94.78 |     75.9 |     100 |   94.73 | 21,29,47,55,157,162                                                                                                                                                         
  replaySubscriptions.ts                                    |      92 |       68 |   85.71 |   95.65 | 30                                                                                                                                                                          
  replaySummaryViewModel.ts                                 |   98.14 |    86.95 |     100 |   97.67 | 163                                                                                                                                                                         
  replayTimeline.ts                                         |   98.08 |    81.39 |     100 |   97.93 | 87,97,144                                                                                                                                                                   
  replayViewState.ts                                        |   96.05 |    87.87 |     100 |   95.38 | 138,146,154                                                                                                                                                                 
  sessionColorMapping.ts                                    |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  sessionUtils.ts                                           |   91.07 |    88.88 |     100 |   90.19 | 12,96-99,134-137,159-162                                                                                                                                                    
  trackMapToSVG.ts                                          |   81.31 |       75 |   84.61 |   81.81 | 47,70,80,117,130,139,147,174-175,191-195,212                                                                                                                                
 lmu-steward/src/renderer/views                             |   39.91 |    17.22 |   42.96 |   39.48 |                                                                                                                                                                             
  Dashboard.tsx                                             |      90 |    33.33 |   66.66 |   89.47 | 43-71                                                                                                                                                                       
  DriverAnalysis.tsx                                        |   33.89 |        0 |       0 |   33.92 | 41-232                                                                                                                                                                      
  Replay.tsx                                                |   76.33 |    66.01 |    80.3 |   76.27 | 101-102,119,170,251,278,292-293,297,303,354-355,360-362,377-388,393,423,444-448,469-470,474-476,502-503,510-518,531,537-538,542-548,563,575,649-657,662-663,679,744,930-941 
  UserSettings.tsx                                          |    5.37 |     1.06 |       0 |    5.08 | 71-76,80-86,91-96,112-1080                                                                                                                                                  
------------------------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
